Topic,Sub-topic,Principle
Linear Motion,Kinematics-Linear Motion,Equation of motion
Linear Motion,Kinematics-Free Fall,
Linear Motion,Kinematics-Projectile Motion,
Linear Motion,Dynamics -Newton's Laws of Motion,"Newton's 1st law, Newton's 2nd law, Newton's 3rd law"
Linear Motion,Dynamics -Motion on inclined planes,Law of Conservation of energy
Linear Motion,"Work, kinetic energy and potential energy",Law of Conservation of energy
Linear Motion,Dynamics-Work-energy theorem,Law of Conservation of energy
Linear Motion,Dynamics-Conservation of energy,Law of Conservation of energy
Linear Motion,Dynamics-Power,Newton's 2nd law 
Linear Motion,Dynamics-Linear momentum,conservation of momentum
Linear Motion,Dynamics-Conservation of linear momentum and impulse,Impulse - momentum theorm
Linear Motion,Dynamics-Elastic collision,"conservation of momentum, Law of Conservation of energy"
Linear Motion,Dynamics-Inelastic collision,"conservation of momentum, Law of Conservation of energy"
Linear Motion,Dynamics-Collision in 2-dimension,conservation of momentum
Rotational Motion,Angular displacement,
Rotational Motion,Velocity and acceleration,
Rotational Motion,Relation between rotational motion and linear motion,Linear motion at constant acceleration
Rotational Motion,Rotational motion at constant angular acceleration,Equation of motion
Rotational Motion,Centripetal acceleration and centripetal force,Equation of motion
Rotational Motion,Rotational motion on horizontal and vertical planes,Equation of motion
Rotational Motion,Conical pendulum,
Rotational Motion,Centre of mass and torque,
Rotational Motion,Moment of inertia and parallel axis theorem,
Rotational Motion,Rotational kinetic energy,"Equation of linear kinetic energy, Equation of rotational kinetic energy, Equation of initial potential energy "
Rotational Motion,Angular momentum,Equation of angular momentum 
Rotational Motion,Conservation of angular momentum,Law of conservation of angular momentum
Gravitation,Newton's law of gravitation,Newton's Law of Gravitation
Gravitation,Gravitational field,
Gravitation,Gravitational potential,
Gravitation,The motion of satellite,
Gravitation,Escape velocity, Conservation of energy
Static,Centre of gravity,"Equation of centre of Gravity, Condition of Equilibrium"
Static,Force equilibrium and torque equilibrium,Equation of torque